Main Category,Subcategory,Type,Product Code,Description,Unit Price,Stock
Welding Consumables,MMA,Electrodes,E601325,6013 Electrode 2.5mm - Carton,62.38,10
Welding Consumables,MMA,Electrodes,E601332,6013 Electrode 3.2mm - Carton,63.25,10
Welding Consumables,MMA,Electrodes,E701825ES,2.5mm 7018 Electrode 0.7kg - ESAB,15.74,10
Welding Consumables,MMA,Electrodes,E701832ES,3.2mm 7018 Electrode 2.3kg - ESAB,36.73,10
Welding Consumables,MIG,Torches & Parts,KEMPROL10,Kempi Red roller upper and lower 1.0mm,47.32,10
Welding Consumables,MIG,Torches & Parts,KNOZ,Kempi Nozzle 10pk,45.5,10
Welding Consumables,MIG,Torches & Parts,LINERRED4M,4M Red Torch Liner,4.2,10
Welding Consumables,MIG,Torches & Parts,LINERRED5M,5M Red Torch Liner,5.36,10
Welding Consumables,MIG,Torches & Parts,M812CT,1.2mm M8 Contact Tip,0.9,10
Welding Consumables,MIG,Torches & Parts,MB25CN,Conical Nozzle - MB25,2.5,10
Welding Consumables,MIG,Torches & Parts,MB25TM6,MB25 Tip Adaptor M6 Standard,0.99,10
Welding Consumables,MIG,Torches & Parts,MB25TN,Tapered Nozzle - MB25,2.5,10
Welding Consumables,MIG,Torches & Parts,MB36CN,Conical Nozzle - MB36,3.18,10
Welding Consumables,MIG,Torches & Parts,MB36GD,MB36 Gas Difuser,0.78,10
Welding Consumables,MIG,Torches & Parts,MB36TM8,MB36 Tip Adaptor M8,0.99,10
Welding Consumables,MIG,Torches & Parts,BZLMB364M,Binzel MB36 Mig Torch - 4M,84,10
Welding Consumables,MIG,Wire,G3Si110,G3Si1 1.0mm 15kg,23.94,10
Welding Consumables,MIG,Wire,G3Si112,G3Si1 1.2mm 15kg,28.99,10
Welding Consumables,MIG,Wire,SG2BOH12,Bohler - SG2 1.2mm Mig Wire 15KG,28.99,10
Welding Consumables,General,EL4M300+,GRA30,Argon Gas Regulator 30L,26.95,10
Welding Consumables,Helmets & Parts,ESABWAROL,KEMPOL,Kempi Outer Lens 115*104 10pk,8.82,10
Welding Consumables,Helmets & Parts,ESABWAROL,SPDGLS9000HB,Speedglas 9000 Series Head Band,26.24,10
Welding Consumables,Helmets & Parts,ESABWAROL,SPDGLS9000SB,Speedglas 9000 Series Sweat Band - 2pk,17.1,10
Welding Consumables,Helmets & Parts,ESABWAROL,SPDGLS9000OL,Speedglas 9000 Series Outer Lens 10pk,35.89,10
Welding Consumables,Helmets & Parts,ESABWAROL,UNISB,Universal - Sweat Band For Mask,2.2,10
PPE & Safety,General,,BATAPE,Barrier Tape 75mm,8.43,10
PPE & Safety,General,,P3RFIL,Respirator Filter - P3R,7.3,10
PPE & Safety,General,,SFTYGLAS,Ultimate Industrial - Safety Glasses 1pc,1.3,10
PPE & Safety,General,,SFTYGLES,ESAB - Safety Glasses,3.24,10
PPE & Safety,Gloves,,GG10,Gator Gripz - Size 10 Disp Gloves,19.23,10
PPE & Safety,Gloves,,GPRED10,PU Coated Gloves CAT II - Predator,0.6,10
PPE & Safety,Gloves,,MIGGL,Leopard - Welding Gauntlet Pair,3.5,10
PPE & Safety,Gloves,,PODGLOVE,Polyco - Disposable Glove 100pk,6.12,10
PPE & Safety,Gloves,,PPGDG10,Parweld - Panther Gold Driver Glove Size 10,7.32,10
PPE & Safety,Gloves,,RIGGL10,Size 10 Rigger Gloves - 10 PK,20.8,10
PPE & Safety,Gloves,,TGLOVEL,Traffiglove - L Nitrile Disposable Gloves 100pk,8.94,10
PPE & Safety,Gloves,,TGLOVEXL,Traffiglove - XL Nitrile Disposable Gloves 100pk,8.94,10
Cutting & Drilling,Broach Cutters,,BC14S,Broach Cutter 14mm Short,8.82,10
Cutting & Drilling,Broach Cutters,,BC18S,Broach Cutter 18mm Short,10.68,10
Cutting & Drilling,Broach Cutters,,BC22S,Broach Cutter 22mm Short,15.3,10
Cutting & Drilling,Broach Cutters,,BC32S,Broach Cutter 32mm Short,31.99,10
Cutting & Drilling,Broach Cutters,,BCPPS,Broach Cutter Pilot Pin Short,2.95,10
Cutting & Drilling,Bandsaw Blades,,BB2455/8ST,2450mmx27 5/8TPI Bandsaw Blade - Starrett,26.24,10
Workshop Consumables,"Fluids, Compounds & Sprays",,CLNWLDAS,Cleanweld - Antispatter 600ml Aersol,4.59,10
Workshop Consumables,"Fluids, Compounds & Sprays",,CT90AC,Action Can CT-90 - Aerosol 500ml,8.52,10
Workshop Consumables,"Fluids, Compounds & Sprays",,CT90FL,CT90 Poly Bottle - 500ml,11.22,10
Workshop Consumables,"Fluids, Compounds & Sprays",,ESETAS,ESAB - Hi Tec Antispatter Spray,4.22,10
Workshop Consumables,"Fluids, Compounds & Sprays",,PARAS5,Parweld - Water Based Anti-spatter 5KG,11.72,10
Workshop Consumables,"Fluids, Compounds & Sprays",,ROC5L,Rocol Multi-sol 5L,69.99,10
Workshop Consumables,"Fluids, Compounds & Sprays",,TUFCUT,500ml Tuf Cut Cutting Compound,11.64,10
Workshop Consumables,"Fluids, Compounds & Sprays",,SIFTIP,500g SIF Tip Dip,12.59,10
Workshop Consumables,Marking,,144CHLK,Flat Engineers Chalk - 144 pcs,10.32,10
Workshop Consumables,Marking,,PMYEL,Edding 950 Paint Marker - Yellow,3.85,10
Workshop Consumables,Shop Supplies,,10KGRAG,10 KG Assorted Rags,16.4,10
Workshop Consumables,Shop Supplies,,SIFTIP,500g SIF Tip Dip,12.59,10
Workshop Consumables,Shop Supplies,,TRSPB750,750ml Trigger Spray Bottle,2.61,10
Workshop Consumables,Shop Supplies,,HDCP12,12mm Heavy Duty Centre Punch,6.34,10
Workshop Consumables,Shop Supplies,,K3S10CK,K3/S10 Chuck Key,6.99,10
